mdf,ngram,features,fscore
1.0,1.0,100.0,0.28089887640449435
1.0,2.0,100.0,0.30939226519337015
1.0,3.0,100.0,0.31693989071038253
5.0,1.0,100.0,0.28888888888888886
5.0,2.0,100.0,0.31693989071038253
5.0,3.0,100.0,0.30939226519337015
10.0,1.0,100.0,0.2905027932960894
10.0,2.0,100.0,0.31521739130434784
10.0,3.0,100.0,0.30939226519337015
20.0,1.0,100.0,0.2824858757062147
20.0,2.0,100.0,0.30939226519337015
20.0,3.0,100.0,0.31693989071038253
30.0,1.0,100.0,0.2824858757062147
30.0,2.0,100.0,0.31693989071038253
30.0,3.0,100.0,0.31693989071038253
40.0,1.0,100.0,0.2711864406779661
40.0,2.0,100.0,0.28888888888888886
40.0,3.0,100.0,0.2905027932960894
50.0,1.0,100.0,0.18404907975460125
50.0,2.0,100.0,0.24561403508771928
50.0,3.0,100.0,0.2543352601156069
60.0,1.0,100.0,0.2235294117647059
60.0,2.0,100.0,0.2235294117647059
60.0,3.0,100.0,0.2222222222222222
70.0,1.0,100.0,0.1807228915662651
70.0,2.0,100.0,0.2325581395348837
70.0,3.0,100.0,0.20238095238095236
80.0,1.0,100.0,0.19999999999999998
80.0,2.0,100.0,0.25287356321839083
80.0,3.0,100.0,0.21176470588235294
90.0,1.0,100.0,0.22093023255813954
90.0,2.0,100.0,0.22093023255813954
90.0,3.0,100.0,0.22093023255813954
100.0,1.0,100.0,0.22093023255813954
100.0,2.0,100.0,0.22093023255813954
100.0,3.0,100.0,0.22093023255813954
1.0,1.0,200.0,0.3333333333333333
1.0,2.0,200.0,0.35106382978723405
1.0,3.0,200.0,0.3422459893048128
5.0,1.0,200.0,0.34736842105263155
5.0,2.0,200.0,0.35106382978723405
5.0,3.0,200.0,0.3645833333333333
10.0,1.0,200.0,0.3333333333333333
10.0,2.0,200.0,0.3578947368421052
10.0,3.0,200.0,0.3422459893048128
20.0,1.0,200.0,0.3333333333333333
20.0,2.0,200.0,0.35106382978723405
20.0,3.0,200.0,0.35106382978723405
30.0,1.0,200.0,0.2857142857142857
30.0,2.0,200.0,0.3060109289617486
30.0,3.0,200.0,0.30434782608695654
40.0,1.0,200.0,0.2613636363636364
40.0,2.0,200.0,0.2905027932960894
40.0,3.0,200.0,0.2905027932960894
50.0,1.0,200.0,0.20481927710843373
50.0,2.0,200.0,0.2352941176470588
50.0,3.0,200.0,0.2543352601156069
60.0,1.0,200.0,0.20481927710843373
60.0,2.0,200.0,0.2222222222222222
60.0,3.0,200.0,0.2222222222222222
70.0,1.0,200.0,0.20118343195266272
70.0,2.0,200.0,0.20238095238095236
70.0,3.0,200.0,0.21301775147928992
80.0,1.0,200.0,0.19999999999999998
80.0,2.0,200.0,0.25287356321839083
80.0,3.0,200.0,0.25287356321839083
90.0,1.0,200.0,0.22093023255813954
90.0,2.0,200.0,0.22093023255813954
90.0,3.0,200.0,0.22093023255813954
100.0,1.0,200.0,0.22093023255813954
100.0,2.0,200.0,0.22093023255813954
100.0,3.0,200.0,0.22093023255813954
1.0,1.0,300.0,0.3857868020304569
1.0,2.0,300.0,0.3857868020304569
1.0,3.0,300.0,0.3939393939393939
5.0,1.0,300.0,0.4020100502512563
5.0,2.0,300.0,0.34736842105263155
5.0,3.0,300.0,0.3578947368421052
10.0,1.0,300.0,0.39795918367346944
10.0,2.0,300.0,0.35602094240837695
10.0,3.0,300.0,0.34920634920634924
20.0,1.0,300.0,0.3404255319148936
20.0,2.0,300.0,0.3529411764705882
20.0,3.0,300.0,0.3529411764705882
30.0,1.0,300.0,0.2777777777777778
30.0,2.0,300.0,0.3135135135135135
30.0,3.0,300.0,0.3060109289617486
40.0,1.0,300.0,0.2613636363636364
40.0,2.0,300.0,0.2905027932960894
40.0,3.0,300.0,0.2905027932960894
50.0,1.0,300.0,0.20481927710843373
50.0,2.0,300.0,0.24561403508771928
50.0,3.0,300.0,0.2352941176470588
60.0,1.0,300.0,0.20481927710843373
60.0,2.0,300.0,0.2222222222222222
60.0,3.0,300.0,0.2235294117647059
70.0,1.0,300.0,0.20118343195266272
70.0,2.0,300.0,0.2325581395348837
70.0,3.0,300.0,0.21301775147928992
80.0,1.0,300.0,0.19999999999999998
80.0,2.0,300.0,0.25287356321839083
80.0,3.0,300.0,0.25287356321839083
90.0,1.0,300.0,0.22093023255813954
90.0,2.0,300.0,0.22093023255813954
90.0,3.0,300.0,0.22093023255813954
100.0,1.0,300.0,0.22093023255813954
100.0,2.0,300.0,0.22093023255813954
100.0,3.0,300.0,0.20238095238095236
1.0,1.0,400.0,0.42718446601941745
1.0,2.0,400.0,0.41379310344827586
1.0,3.0,400.0,0.42
5.0,1.0,400.0,0.41951219512195115
5.0,2.0,400.0,0.4242424242424243
5.0,3.0,400.0,0.40609137055837563
10.0,1.0,400.0,0.405940594059406
10.0,2.0,400.0,0.4040404040404041
10.0,3.0,400.0,0.42574257425742573
20.0,1.0,400.0,0.3333333333333333
20.0,2.0,400.0,0.3529411764705882
20.0,3.0,400.0,0.35978835978835977
30.0,1.0,400.0,0.27624309392265195
30.0,2.0,400.0,0.3060109289617486
30.0,3.0,400.0,0.3060109289617486
40.0,1.0,400.0,0.2628571428571429
40.0,2.0,400.0,0.2742857142857143
40.0,3.0,400.0,0.28888888888888886
50.0,1.0,400.0,0.2235294117647059
50.0,2.0,400.0,0.21556886227544908
50.0,3.0,400.0,0.2352941176470588
60.0,1.0,400.0,0.22485207100591717
60.0,2.0,400.0,0.2222222222222222
60.0,3.0,400.0,0.20359281437125748
70.0,1.0,400.0,0.20118343195266272
70.0,2.0,400.0,0.2325581395348837
70.0,3.0,400.0,0.2325581395348837
80.0,1.0,400.0,0.19999999999999998
80.0,2.0,400.0,0.2325581395348837
80.0,3.0,400.0,0.24277456647398843
90.0,1.0,400.0,0.22093023255813954
90.0,2.0,400.0,0.22093023255813954
90.0,3.0,400.0,0.22093023255813954
100.0,1.0,400.0,0.22093023255813954
100.0,2.0,400.0,0.22093023255813954
100.0,3.0,400.0,0.22093023255813954
