state,text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,is_relevant,id_str,screen_name,retweet_count,favorite_count,coordinates,country,place_full_name,place,randomized_order
Florida,0,['delivered'],0,0,2020-06-21 14:04:57+00:00,1.2747048648288911e+18,“ May all that have life be delivered from suffering “ -Buddha,0,131570295.0,thexbasha,0.0,0.0,,,,,
Florida,0,['watch'],0,0,2020-07-03 18:51:38+00:00,1.2791256671922913e+18,@brettrader READ MORE. WATCH LESS.,0,44057969.0,lisanapoli,0.0,0.0,,,,,
Florida,0,['watch'],0,0,2020-04-06 13:24:42+00:00,1.2471532583108936e+18,Yall really questioning why athletes making more profit but yall the ones buying the gear and paying to watch the g… https://t.co/eLnRNLtrgy,0,2710456790.0,_DaAnimal_,0.0,0.0,,,,,
Florida,0,['netflix'],0,0,2020-04-26 04:03:30+00:00,1.2542597867550392e+18,"The end of Extraction when Tyler dies, has me in legit tears.😩
#Extraction #ExtractionNetflix #Netflix @chrishemsworth",1,3242591642.0,RodriguezY__,0.0,0.0,,,,,
Florida,0,['beer'],0,0,2020-05-01 17:49:12+00:00,1.2562795195787305e+18,"@kaL12578 Actually if you wipe a bit of 'alcohol' under your eyes and not any of that beer 🍺 crap, it has to be 'th… https://t.co/lfWvXAyCBy",0,1.0543770182787236e+18,JosephCShepard1,0.0,0.0,,,,,
Florida,0,['cooked'],0,0,2020-05-23 02:02:28+00:00,1.264013796957393e+18,"It shares basically every trait with a traditional pizza. It is shaped like a pizza, it is cooked like a pizza, it… https://t.co/y7VoVsXAnN",0,439071771.0,CTowersCBS,0.0,15.0,,,,,
Florida,0,['watch'],0,0,2020-07-03 14:01:55+00:00,1.2790527548965315e+18,"I kid you not, I have been forced to watch 20 minutes of advertisement for a 3 minute video. This is getting ridicu… https://t.co/UnSZwA5fQh",1,1700447018.0,Bouzoulay,0.0,3.0,,,,,
Florida,0,['watching'],0,0,2020-02-08 03:01:57+00:00,1.2259780410982113e+18,Finally getting around to watching #FordvFerrari https://t.co/H3ol3C2t97,1,27543038.0,judgep15,0.0,5.0,"[[-77.184452, 38.739182], [-77.119991, 38.739182], [-77.119991, 38.798553], [-77.184452, 38.798553]]",United States,"Franconia, VA",city,
Florida,['drink'],['watch'],0,0,2020-04-08 22:01:25+00:00,1.248008072234066e+18,You can smoke good drink good in ya car abs watch a movie 🎥,0,3022973524.0,Humble_me_23,0.0,0.0,"[[-91.655009, 30.146096], [-88.097889, 30.146096], [-88.097889, 34.995968], [-91.655009, 34.995968]]",United States,"Mississippi, USA",admin,
Florida,['beach'],['watch'],0,0,2020-05-13 10:52:44+00:00,1.260523366043304e+18,Came to #FortLauderdale beach to watch the sunrise with my bro @MrScottEddy. #Hyperlapse #sunrisers #sunrise… https://t.co/kUM50riWu9,0,28017532.0,OMARSHINEZ,1.0,9.0,"[[-80.20811, 26.080935], [-80.0902351, 26.080935], [-80.0902351, 26.219801], [-80.20811, 26.219801]]",United States,"Fort Lauderdale, FL",city,
Florida,0,['watch'],0,0,2020-06-04 06:14:46+00:00,1.2684259458552668e+18,@SeminolePeej Don’t forget the MLK football graphic happens on Willie’s watch,0,36708395.0,brewmeone,0.0,2.0,,,,,
Florida,0,['watched'],0,0,2020-07-03 02:25:44+00:00,1.2788775568261489e+18,"@AstralEyes7 @ZKahronicNebula I’ve watched beheading videos and all sorts of traumatic events, but this animal, I c… https://t.co/6ID9BYIcVQ",0,247780919.0,RobPages,0.0,0.0,,,,,
Florida,0,['watch'],0,0,2020-04-19 14:54:50+00:00,1.2518869822187766e+18,"Really just pulled an all-nighter to watch 12 straight hours of BTS... 

I am now recharged a ready for finals week… https://t.co/7WeCIKwFLk",1,3245368332.0,Nghila2000,0.0,5.0,,,,,
