text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,id_str,screen_name,retweet_count,favorite_count,coordinates,country,place_full_name,place,is_relevant,state
['rideshare'],0,0,0,2020-06-22 04:00:02+00:00,1274915020741046272,#Carpool #Viluppuram -&gt; #Hosur rideshare #splitcosts #sharecoffee #sharemusic #sharefood https://t.co/VLGDY6qZU5,87188071,carpoolworld,0,0,"[[79.291137, 11.797596], [79.739995, 11.797596], [79.739995, 12.149402], [79.291137, 12.149402]]",India,"Viluppuram, India",city,,Alabama
['campus'],0,0,0,2020-03-16 02:37:31+00:00,1239380246132113408,@kaykristine_ @onlyone_drob I know somebody at AUM and they ain’t even have to leave campus,823297006655389696,realsteppa4k,0,0,,,,,,Alabama
['practice'],0,0,0,2020-07-03 17:32:35+00:00,1279105774577467398,"Two NASCAR Xfinity Series practice sessions today so they can acclimate to the IMS Road Course

1:30-2:25
3:00-3:55

NBC Sports App",231746784,MattWeaverAW,0,6,,,,,,Alabama
['travel'],0,0,0,2020-06-29 13:57:35+00:00,1277602113783320576,I’ve been manifesting being able to travel city every weekend,1008911940624834560,ebznfloz,0,0,,,,,,Alabama
['mass'],0,0,0,2020-03-14 01:12:26+00:00,1238634058017636352,"@Ohiohurricane @6OnTheWay Did anyone see on the ""news"", the Iraqi mass burial pits  being prepared?

https://t.co/nSeKGKyKo9",780555214117933056,Miamuh58,0,1,"[[-80.1955611, 26.206136], [-80.0817297, 26.206136], [-80.0817297, 26.2976539], [-80.1955611, 26.2976539]]",United States,"Pompano Beach, FL",city,,Alabama
['rideshare'],0,0,0,2020-06-26 08:30:02+00:00,1276432519802417152,#Carpool #Tanauan -&gt; #Makati #SenGilJPuyatAvenue rideshare #splitcosts https://t.co/3KsA0054No,87188071,carpoolworld,0,0,"[[121.0288179, 14.027837], [121.1656447, 14.027837], [121.1656447, 14.1554626], [121.0288179, 14.1554626]]",Republic of the Philippines,"Tanauan City, Calabarzon",city,,Alabama
0,0,['hang out'],0,2020-01-31 15:15:08+00:00,1223263450585059330,This post highlights one reason I love to hang out with positive people! https://t.co/J0aO1BAAQa,7484832,shawnlovejoy,0,0,,,,,,Alabama
['cafe'],0,0,0,2020-01-22 04:25:35+00:00,1219838493960163328,#myAUM everybody and they grandma asking me for tickets for the party. So if you need any tickets meet me tomorrow in the cafe at 12!,465297456,NoPretend__,0,1,"[[-86.418059, 32.2845933], [-86.071398, 32.2845933], [-86.071398, 32.443697], [-86.418059, 32.443697]]",United States,"Montgomery, AL",city,,Alabama
['rideshare'],0,0,0,2020-06-25 06:30:01+00:00,1276039931131879424,#Carpool #Vancouver -&gt; #Tofino rideshare #splitcosts https://t.co/65ki4li4SY,87188071,carpoolworld,0,0,"[[-123.224215, 49.19854], [-123.022947, 49.19854], [-123.022947, 49.316738], [-123.224215, 49.316738]]",Canada,"Vancouver, British Columbia",city,,Alabama
['train'],0,0,0,2020-06-15 19:54:55+00:00,1272618610956140544,“you gotta train your mind to be stronger than your heart” ✍🏾,290931186,earlandreaaa,1,0,"[[-86.653157, 33.579698], [-86.542568, 33.579698], [-86.542568, 33.680085], [-86.653157, 33.680085]]",United States,"Trussville, AL",city,,Alabama
