state,text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,is_relevant,id_str,screen_name,retweet_count,favorite_count,coordinates,country,place_full_name,place,is_relevant
Florida,['shopping'],0,0,0.0,2020-02-04 14:22:13+00:00,1224699687543828482,@vans_mag Shopping partner miss u!,0,699747019418681344,JcJcferreyra,0.0,1.0,,,,,
Florida,['practice'],0,0,0.0,2020-02-26 14:53:22+00:00,1232680058210353152,@cbuchman99 @tae15adams His self esteem ain’t hurt from this. This is called practice. It’s a heavy offensive favor… https://t.co/NimDBuM8pz,0,855987561289977856,sidelinehustle,0.0,8.0,"[[8.624721, 48.819034], [8.808588, 48.819034], [8.808588, 48.929609], [8.624721, 48.929609]]",Germany,"Pforzheim, Deutschland",city,
Florida,['beach'],0,0,0.0,2020-07-09 04:04:54+00:00,1281076838836637696,#rich #kanye #trump #lol #fun #pictureoftheday #beach #clothes #Model #money #cash #hot #live #like #florida #rap… https://t.co/1BAtZcordW,0,1115762454292828160,easytosell,0.0,0.0,,,,,
Florida,['service'],0,0,0.0,2020-03-29 14:38:06+00:00,1244272627679662082,quality time &amp; acts of service https://t.co/ypHalA33IG,0,793273944379764736,chiefkiii,0.0,1.0,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin,
Florida,['basketball'],0,0,0.0,2020-05-18 02:56:00+00:00,1262215329800953856,@Rachel__Nichols The goat at basketball and facial expressions,0,52426290,PMKirsch,0.0,1.0,,,,,
Florida,['drinking'],0,0,0.0,2020-04-18 22:34:19+00:00,1251640226759487495,He got me drinking this Henn (special) headed to Walmart 🤦🏾‍♀️,1,427679038,iamlady_luck,0.0,1.0,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin,
Florida,['concert'],0,0,0.0,2020-06-19 16:33:46+00:00,1274017540885360640,To this day I’m pissed I wasn’t able to go to that k dot concert. He blew up that following year https://t.co/qqa4miJLna,0,41045800.0,MjayHyp3,0.0,1.0,,,,,
Florida,['cafe'],0,0,0.0,2020-01-30 22:37:23+00:00,1223012357804380162,the cafe be disappointing me,1,3386373754,ShaClercira,0.0,0.0,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",United States,"Florida, USA",admin,
Florida,['park'],0,0,0.0,2020-01-22 22:37:19+00:00,1220113240019079178,"#wednesday #WALK 🚶🏾‍♀️✅ (@ Foxwood in Orange Park, FL) https://t.co/OpSGtwhvPL https://t.co/4yEpj4yn9N",0,23662619,MiiMiiPhiLLy,0.0,0.0,"[[-81.809243, 30.100059], [-81.721169, 30.100059], [-81.721169, 30.18923], [-81.809243, 30.18923]]",United States,"Lakeside, FL",city,
Florida,['office'],0,0,0.0,2020-04-02 14:08:36+00:00,1.24571475378953E+18,@CarliSun2 @My_Drama_List I love media office buildings for some reason,0,305363573.0,jeilyVML,0.0,2.0,,,,,
