total,positive,frequency,word/phrase
71,13,0.18309859154929578,shopping
90,2,0.022222222222222223,practice
241,39,0.16182572614107885,beach
214,4,0.018691588785046728,service
200,2,0.01,basketball
160,69,0.43125,drinking
86,1,0.011627906976744186,concert
34,5,0.14705882352941177,cafe
251,43,0.17131474103585656,park
243,19,0.07818930041152264,office
316,1,0.0031645569620253164,games
133,5,0.03759398496240601,visit
122,6,0.04918032786885246,shop
183,8,0.04371584699453552,flying
58,6,0.10344827586206896,bus
144,3,0.020833333333333332,church
929,9,0.00968783638320775,game
57,4,0.07017543859649122,restaurants
45,0,0.0,mass
125,8,0.064,restaurant
82,15,0.18292682926829268,airport
73,8,0.1095890410958904,delivery
21,3,0.14285714285714285,visited
222,20,0.09009009009009009,store
219,20,0.091324200913242,trip
161,24,0.14906832298136646,bar
205,24,0.11707317073170732,drink
104,3,0.028846153846153848,golf
100,3,0.03,meeting
127,36,0.28346456692913385,gym
91,5,0.054945054945054944,vacation
18,4,0.2222222222222222,camping
17,5,0.29411764705882354,pub
22,1,0.045454545454545456,shops
116,4,0.034482758620689655,conference
66,13,0.19696969696969696,hotel
65,1,0.015384615384615385,camp
9,0,0.0,traveled
23,1,0.043478260869565216,worship
29,1,0.034482758620689655,trips
21,0,0.0,concerts
91,1,0.01098901098901099,fly
170,9,0.052941176470588235,travel
20,2,0.1,salon
30,0,0.0,barber
16,1,0.0625,churches
22,2,0.09090909090909091,theater
16,1,0.0625,gyms
44,1,0.022727272727272728,haircut
61,7,0.11475409836065574,stores
7,4,0.5714285714285714,lyft
20,1,0.05,tripping
1,1,1.0,golfed
70,3,0.04285714285714286,bars
64,10,0.15625,train
48,8,0.16666666666666666,uber
11,0,0.0,camps
36,3,0.08333333333333333,beaches
19,3,0.15789473684210525,drank
6,0,0.0,salons
29,0,0.0,visiting
63,8,0.12698412698412698,campus
37,3,0.08108108108108109,parks
21,3,0.14285714285714285,travels
10,1,0.1,conferences
41,8,0.1951219512195122,drinks
74,0,0.0,services
7,1,0.14285714285714285,vacations
20,0,0.0,visits
17,0,0.0,hotels
14,0,0.0,training
21,0,0.0,metro
1,1,1.0,campground
49,1,0.02040816326530612,tennis
5,0,0.0,flown
3,0,0.0,commutes
1,1,1.0,drunk
7,4,0.5714285714285714,trains
9,0,0.0,taxi
5,0,0.0,tripped
15,0,0.0,practices
5,0,0.0,airports
19,1,0.05263157894736842,flew
33,2,0.06060606060606061,mall
30,1,0.03333333333333333,practicing
6,0,0.0,haircuts
23,3,0.13043478260869565,traveling
1,0,0.0,taxis
9,0,0.0,offices
2,0,0.0,commuted
23,3,0.13043478260869565,yoga
1,0,0.0,barred
29,13,0.4482758620689655,subway
14,0,0.0,theaters
19,0,0.0,flies
1,0,0.0,malls
7,0,0.0,travelling
3,0,0.0,motel
7,0,0.0,gaming
26,0,0.0,meetings
18,8,0.4444444444444444,hike
13,1,0.07692307692307693,parked
28,0,0.0,trained
6,0,0.0,deliveries
17,8,0.47058823529411764,hiking
1,0,0.0,worshiping
5,0,0.0,practiced
2,0,0.0,worshipping
88,0,0.0,rideshare
2,0,0.0,vacationing
2,1,0.5,airbnb
3,0,0.0,stored
3,0,0.0,hairdresser
8,0,0.0,barbers
1,0,0.0,flys
3,0,0.0,subways
1,0,0.0,busses
3,0,0.0,shopped
2,0,0.0,flyest
5,0,0.0,buses
9,2,0.2222222222222222,commute
1,0,0.0,pubs
1,1,1.0,camped
6,2,0.3333333333333333,golfing
2,1,0.5,hiked
1,0,0.0,campgrounds
2,0,0.0,commuting
2,0,0.0,campuses
1,0,0.0,beached
1,0,0.0,worships
1,0,0.0,barring
1,0,0.0,parking
2,0,0.0,hikes
14,0,0.0,meet up
38,1,0.02631578947368421,work out
92,3,0.03260869565217391,go out
36,3,0.08333333333333333,grocery store
34,0,0.0,hang out
20,0,0.0,go to work
8,0,0.0,hair cut
3,0,0.0,coffee shop
