state,text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,id_str,screen_name,retweet_count,favorite_count,coordinates,country,place_full_name,place,is_relevant
Michigan,['game'],0,0,0,2020-04-11 15:38:36+00:00,1.2489988953567273e+18,In a parallel universe the #Buckeyes spring game would be kicking off shortly.,21910216.0,Kevin_Noon,0.0,11.0,,,,,
Michigan,['bars'],0,0,0,2020-04-05 00:07:34+00:00,1.2465902640445522e+18,@JoeyMulinaro nutty bars and swiss cake rolls can stay,428467437.0,LongjohnJungle,0.0,0.0,"[[-85.751406, 42.883679], [-85.530877, 42.883679], [-85.530877, 43.029144], [-85.751406, 43.029144]]",United States,"Grand Rapids, MI",city,
Michigan,['drink'],0,0,0,2020-05-24 14:54:49+00:00,1.2645705545117532e+18,You ever drink so much the night before and wake up still slightly buzzed?,182658705.0,JeffnShit,0.0,3.0,,,,,
Michigan,['mall'],0,0,0,2020-06-02 04:22:58+00:00,1.267673034078466e+18,@MitchRappFans I couldn’t tell. Honestly I didn’t get too close but observed from a distance. The mall was quiet when I was there,44303996.0,fritzklug,0.0,0.0,,,,,
Michigan,['drinking'],0,0,0,2020-01-19 20:51:52+00:00,1.2189995373496689e+18,Romo and Nantz seem like they have fun during the broadcasts. Do you think they're drinking? #NFLPlayoffs,19719365.0,TrevTurner85,0.0,0.0,,,,,
Michigan,['game'],0,0,0,2020-06-05 17:45:24+00:00,1.2689621386740818e+18,"@fToRrEeEsSt Yeah they’re not gonna mess with core ideology, but the game is convincing you that globalist Dems car… https://t.co/334UuNqQJd",17081882.0,djtomhanks,0.0,1.0,,,,,
Michigan,['flying'],0,0,0,2020-02-28 10:48:55+00:00,1.2333433139918643e+18,Hushkit interview : Flying &amp; fighting in the F-14 Tomcat: Interview with an Iranian fighter ace,,,,,,,,,
Michigan,['travel'],0,0,0,2020-06-30 20:22:32+00:00,1.2780613790486528e+18,EU excludes United States from 'safe' travel list https://t.co/NjhlH6HYdQ,50631241.0,benklayman,0.0,0.0,,,,,
Michigan,['drinking'],['ipas'],0,0,2020-05-09 18:24:41+00:00,1.2591875499454218e+18,Catch me drinking ipas,1.1902338323619963e+18,xScootyPuffJrx,0.0,0.0,"[[-90.4181075, 41.696088], [-82.122971, 41.696088], [-82.122971, 48.306272], [-90.4181075, 48.306272]]",United States,"Michigan, USA",admin,
Michigan,['fly'],0,0,0,2020-07-14 01:05:42+00:00,1.2828436833694228e+18,Don't fly him again. Let the Donald find him a way home. https://t.co/fiOnLhylpW,27785200.0,nilesite,0.0,0.0,,,,,
Michigan,"['parks', 'park']",0,0,0,2020-05-06 13:29:04+00:00,1.2580259921085972e+18,@bsteeper @robertguenette Which parks are and aren't closed? I know there was the big Bellwoods park that was alway… https://t.co/uzqvjkRnCm,16406043.0,Dayvo,0.0,1.0,,,,,
Michigan,['flying'],0,0,0,2020-02-28 10:48:55+00:00,1.2333433139918643e+18,Hushkit interview : Flying &amp; fighting in the F-14 Tomcat: Interview with an Iranian fighter ace,,,,,,,,,
Michigan,['game'],['watching'],0,0,2020-02-22 21:46:53+00:00,1.2313345726815068e+18,Looking forward to watching our first ⁦@Pirates⁩ #SpringTraining2020 game on ⁦@ATTSportsNetPIT⁩ !!!#BucsBooth… https://t.co/RCyNFugLis,145651803.0,TornadoTodd,0.0,3.0,,,,,
Michigan,"['basketball', 'game']",0,0,0,2020-02-28 01:09:43+00:00,1.2331975543488102e+18,"So @shari_muxlow said, “let’s go for a ride”😃  The ride was to a PFW women’s basketball game to surprise… https://t.co/yYpvrWFFpk",7.084930614883082e+17,doug_muxlow,0.0,14.0,"[[-85.336872, 40.95926], [-85.003231, 40.95926], [-85.003231, 41.214574], [-85.336872, 41.214574]]",United States,"Fort Wayne, IN",city,
Michigan,['trip'],0,0,0,2020-05-13 17:36:38+00:00,1.2606250111587901e+18,It’s hard to be an asshole on a power trip? Or is the difficult part sitting in your car all day attempting to hide… https://t.co/ds8p67dojV,360803855.0,Egilbert2121,0.0,1.0,,,,,
Michigan,['game'],0,0,0,2020-03-31 17:04:42+00:00,1.2450342949695816e+18,Just gotta charge shit to the game 🏌🏽‍♀️,439337009.0,__Parissssss,0.0,1.0,"[[-83.288056, 42.255085], [-82.91052, 42.255085], [-82.91052, 42.450488], [-83.288056, 42.450488]]",United States,"Detroit, MI",city,
Michigan,['train'],0,0,0,2020-03-15 12:00:36+00:00,1.239159560780288e+18,Live at the @Amtrak Kalamazoo station as we tell you some upcoming changes to train schedules. #heeres2020… https://t.co/skfDKYyxN7,22053451.0,jaheeres,3.0,0.0,"[[-85.58420520384176, 42.29532014727711], [-85.58420520384176, 42.29532014727711], [-85.58420520384176, 42.29532014727711], [-85.58420520384176, 42.29532014727711]]",United States,Kalamazoo Transportation Center - Amtrak (KAL),poi,
Michigan,['drinking'],['tequila'],0,0,2020-06-12 23:06:55+00:00,1.2715797654644982e+18,@chief__steve I been drinking tequila for the past month and I’m sick of it 😂,726574284.0,theLENdynasty,0.0,1.0,"[[-83.288056, 42.255085], [-82.91052, 42.255085], [-82.91052, 42.450488], [-83.288056, 42.450488]]",United States,"Detroit, MI",city,
Michigan,['bars'],0,0,0,2020-06-11 11:49:33+00:00,1.271046910888026e+18,@SpartanAvenueFS Walking home from the bars to Abbott Place and realizing you live even further at Chandler Crossing 🥴,213952846.0,Mgrimaldi427,0.0,3.0,,,,,
Michigan,['game'],0,0,0,2020-03-19 23:51:16+00:00,1.2407879584768205e+18,"@DatGirlFriday I agree had no problems cashing those 74,000.00 game checks",287849324.0,newt928,0.0,0.0,,,,,
Michigan,"['bars', 'restaurants']",0,0,0,2020-05-05 00:35:03+00:00,1.2574688191294505e+18,"More than 650 #Michigan bars, restaurants took state up on $3.3 million in liquor buybacks  https://t.co/dqp77RUkrP",23545095.0,ChadLivengood,2.0,10.0,,,,,
Michigan,['drink'],0,0,0,2020-06-11 21:36:54+00:00,1.271194723869393e+18,5) If you add more then 1 lump of sugar to your Tea ( I drink it just Black &amp; Green) there is a 99.8% chance you've… https://t.co/quWELKO162,1.2189499057142374e+18,GeorgeUndefeat1,0.0,3.0,"[[-83.095428, 42.623997], [-82.9732981, 42.623997], [-82.9732981, 42.715777], [-83.095428, 42.715777]]",United States,"Shelby, MI",city,
