state,text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,id_str,screen_name,retweet_count,favorite_count,coordinates,country,place_full_name,place,is_relevant
New York,['gym'],0,0,0,2020-07-10 14:22:20+00:00,1281594607923531776,"Alex has been in the gym, living covid free at City Kickboxing and Max shadow boxed on zoom with the homies.  I swe… https://t.co/dmB2q9VbyX",46580251,GspotMMA,1.0,15.0,,,,,
New York,['shop'],0,0,0,2020-04-08 19:09:02+00:00,1247964690275282950,"Matthews lesson today was shop class, he made me my garden box!! @LisaMeade23 can’t wait to plant!! https://t.co/qHwKk5Knl8",2164096936,laurabarlow31,0.0,7.0,,,,,
New York,['restaurant'],0,0,0,2020-03-01 22:18:00+00:00,1234241505478488068,@chelbb_ Pls share restaurant. Need to attempt.,257273287,senorhueso,0.0,1.0,,,,,
New York,['game'],0,0,0,2020-04-14 09:27:05+00:00,1249992565094584323,@stillxremain To play the Neopets game,2564176872,rabrav,0.0,1.0,,,,,
New York,['beach'],0,0,0,2020-03-19 17:36:21+00:00,1240693607167741953,"@Christo77123308 Yes. After i come back from the beach, i’ll play",28847838,brailleman89,0.0,0.0,,,,,
New York,['pub'],['beer'],0,0,2020-05-06 14:12:24+00:00,1258036897785548800,"Missing the pub so I decided to have a socially distanced @bullhousebeer at my local. Own glass, own beer and walke… https://t.co/fnyj2cHntg",5442302,deannullec,0.0,23.0,,,,,
New York,['shops'],0,0,0,2020-06-15 12:40:41+00:00,1272509332618448898,@PhillipsRhino I’m glad Wales is being more cautious and not reopening non essential shops yet.,363574816,GeorgiaLl0yd,0.0,1.0,,,,,
New York,['trips'],0,0,0,2020-04-19 22:52:05+00:00,1252007089368637447,Wifey making family cloth masks for our trips out. 👍👍 https://t.co/ITOIRgx40G,1002700298,apwazza19,0.0,6.0,,,,,
New York,['barbers'],0,0,0,2020-05-04 04:39:04+00:00,1.2571678378918257e+18,"@kendrayanira Did you read the other tweets it’s not about me 🥺 it’s about the amazingness of barbers, hence “barbe… https://t.co/ZputwUdFA1",576809768.0,ar_gawd,0.0,0.0,,,,,
New York,['game'],0,0,0,2020-06-13 18:39:29+00:00,1271874850458464256,hey everyone here's my new vr game its uh.... inspired by uh... rick and morty.... its like... its like job simulat… https://t.co/PIUCOorT1N,864076261,beakmagik,0.0,14.0,,,,,
New York,"['visit', 'visit']",0,0,0,2020-06-04 16:09:14+00:00,1268575548990722051,@BelgianBoolean This is great resource that I also visit and a good companion place to visit to see or buy interest… https://t.co/1N7txHPEZW,1352972408,SpiceBrotherOne,0.0,3.0,,,,,
