text_keywords_decreased,text_keywords_increased,text_phrases_decreased,text_phrases_increased,created_at,id,text,id_str,screen_name,coordinates,country,place_full_name,place,retweet_count,favorite_count
0,['netflix'],0,0,2020-05-06 01:38:29+00:00,1257847169190703105,What's good on Netflix?,4298988376,MonarchAutumn_,,,,,0,0
0,['watch'],0,0,2020-03-30 23:13:14+00:00,1244764652963332097,"@CelinaSummers We're you able to watch the day @finebaum interviewed him?
It was an EPIC show!",4019250082,ThadSr16,"[[-86.184554, 33.402896], [-86.053472, 33.402896], [-86.053472, 33.4701223], [-86.184554, 33.4701223]]",United States,"Talladega, AL",city,0,0
0,"['hbo', 'hbo']",0,0,2020-05-28 16:37:17+00:00,1266045891519090688,"@gbdawkins it's basically HBO Now with a few more shows + Turner Warner library, which is basically HBO shoes &amp; mov… https://t.co/N7xSW0dWhb",24461215,strickel,,,,,0,0
0,0,0,['social media'],2020-05-12 00:46:16+00:00,1260008356229443586,"Mannn, i don't see how people can get on social media and cry https://t.co/vCvjYykgQP",2937307751,_onlyaisha,,,,,1,0
0,['netflix'],0,0,2020-05-25 02:01:48+00:00,1264738405272993794,Watch the Netflix series “Ozark” and you’ll grasp the mentality of this region. https://t.co/TELjaq5Ab4,2455221483,profstan72,"[[-86.831239, 33.398161], [-86.6510773, 33.398161], [-86.6510773, 33.50444], [-86.831239, 33.50444]]",United States,"Vestavia Hills, AL",city,0,1
0,0,0,['social media'],2020-04-19 00:26:40+00:00,1251668501938536448,"1.75 inch #hail near Port Arthur, TX ESTIMATED SIZE THROUGH SOCIAL MEDIA. (LCH) https://t.co/G6Phpc9dIa",275398567,StormerSite,"[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]",United States,"Texas, USA",admin,0,0
0,['watch'],0,0,2020-05-30 06:07:39+00:00,1266612216620625925,Awesome upgrades at HOF Stadium in OKC! Can’t wait to watch our girls compete on that stage one day! #crackem #USA… https://t.co/1xh725Ih7O,1134100496439029760,AFirecrackers05,,,,,0,0
0,0,0,['social media'],2020-05-13 02:18:40+00:00,1260393997035606018,"I don’t want to see one-off social media posts, biased letters to editors or blogs by “experts” without scientific… https://t.co/R4e1SIr1so",218559401,DrBhrettMcCabe,"[[-86.912935, 33.294784], [-86.607247, 33.294784], [-86.607247, 33.476326], [-86.912935, 33.476326]]",United States,"Hoover, AL",city,0,8
0,0,0,['stay in'],2020-01-16 12:06:19+00:00,1217780114110517249,I’m def gone do right and go to this 8am and not stay in the bed.,1052656815991865344,jamesiaaa,,,,,0,0
0,['watch'],0,0,2020-06-22 21:33:35+00:00,1275180157515509765,"Was that ""political pundit"" Donald Trump Jr.? I didn't watch the rally, but I understand there was a significant po… https://t.co/tfMbjn1Pgb",2809633773,kadinhp,,,,,0,1
0,0,0,['stay at home'],2020-04-11 17:02:33+00:00,1249020020878987271,@Suntimes Evidently Stay At Home orders don’t work on criminals. Who knew!? 🤷🏼‍♀️,15147009,SouthernConLady,,,,,0,3
0,['watching'],0,0,2020-05-26 01:56:37+00:00,1265099488479399936,My legs burn watching this https://t.co/l5YRSsrmOZ,2275974465,TheMattRTR,,,,,0,0
['flown'],['delivered'],0,0,2020-02-03 14:41:18+00:00,1224342100768149504,"Express delivered, hanging down from a twig flown by 2 African swallows https://t.co/AGyNCfE6U7",552908118,fredericlecut,,,,,0,1
0,0,0,['stay in'],2020-02-05 16:51:15+00:00,1225099579638632450,Happy bday to @tbomedy9 @ZayGotWingz and @TheHipsterGod  y’all enjoy y’all days stay safe . And stay in yo bag 💪🏾,544751564,GangstaL95,,,,,4,3
