total,positive,frequency,word/phrase
50,18,0.36,delivered
1239,202,0.16303470540758677,watch
157,86,0.5477707006369427,netflix
190,55,0.2894736842105263,beer
196,13,0.0663265306122449,clean
32,10,0.3125,cooked
764,252,0.3298429319371728,watching
348,115,0.33045977011494254,watched
60,17,0.2833333333333333,delivery
16,6,0.375,baking
42,27,0.6428571428571429,playstation
26,2,0.07692307692307693,gaming
85,38,0.4470588235294118,cooking
163,79,0.48466257668711654,wine
23,8,0.34782608695652173,cleaned
30,11,0.36666666666666664,tequila
35,1,0.02857142857142857,watches
83,34,0.40963855421686746,twitch
55,10,0.18181818181818182,xbox
43,8,0.18604651162790697,snapchat
55,15,0.2727272727272727,ps4
6,0,0.0,cooks
26,12,0.46153846153846156,baked
41,15,0.36585365853658536,facetime
144,35,0.24305555555555555,cook
28,11,0.39285714285714285,hbo
20,5,0.25,cocktail
21,7,0.3333333333333333,bake
33,22,0.6666666666666666,ipa
31,8,0.25806451612903225,whiskey
4,1,0.25,disinfecting
47,2,0.0425531914893617,deliver
14,3,0.21428571428571427,booze
58,21,0.3620689655172414,cleaning
25,10,0.4,beers
4,0,0.0,wines
7,1,0.14285714285714285,homeschooling
12,3,0.25,cocktails
13,2,0.15384615384615385,gin
17,3,0.17647058823529413,delivering
2,0,0.0,whiskeys
9,0,0.0,delivers
6,2,0.3333333333333333,disinfect
6,3,0.5,scotch
11,2,0.18181818181818182,tweeting
5,2,0.4,homeschool
3,0,0.0,wining
12,3,0.25,rum
5,2,0.4,sanitize
4,3,0.75,facetimed
30,4,0.13333333333333333,posting
17,11,0.6470588235294118,disney+
3,0,0.0,twitching
3,0,0.0,cleaner
5,4,0.8,facetiming
4,0,0.0,deliveries
2,1,0.5,facetimes
6,1,0.16666666666666666,tutor
1,0,0.0,postings
28,8,0.2857142857142857,switch
51,8,0.1568627450980392,reading
106,2,0.018867924528301886,post
2,0,0.0,switches
48,16,0.3333333333333333,youtube
30,10,0.3333333333333333,amazon
36,25,0.6944444444444444,zoom
120,93,0.775,posted
45,15,0.3333333333333333,stream
175,13,0.07428571428571429,read
24,3,0.125,posts
3,0,0.0,switching
7,2,0.2857142857142857,reads
5,0,0.0,switched
15,6,0.4,streaming
6,1,0.16666666666666666,childcare
7,0,0.0,streams
1,0,0.0,zoomed
3,0,0.0,cleanest
1,1,1.0,bluejeans
1,0,0.0,wined
4,1,0.25,cleans
1,0,0.0,snapchats
1,1,1.0,streamed
3,2,0.6666666666666666,ipas
1,0,0.0,tutoring
1,0,0.0,gins
1,0,0.0,tutors
42,4,0.09523809523809523,stay in
27,10,0.37037037037037035,stay at home
3,0,0.0,carry out
15,2,0.13333333333333333,take out
13,3,0.23076923076923078,online classes
5,3,0.6,hand washing
6,2,0.3333333333333333,work from home
1,1,1.0,file for unemployment
63,18,0.2857142857142857,social distancing
124,23,0.18548387096774194,drink
22,4,0.18181818181818182,on instagram
92,1,0.010869565217391304,social media
11,5,0.45454545454545453,on tiktok
1,0,0.0,using twitter
25,4,0.16,on facebook
109,5,0.045871559633027525,on twitter
1,1,1.0,home school
1,0,0.0,have a shot
7,4,0.5714285714285714,on tik tok
4,0,0.0,online learning
5,0,0.0,happy hour
9,3,0.3333333333333333,social distance
1,1,1.0,amazon prime
3,0,0.0,reading list
7,3,0.42857142857142855,binge watch
1,0,0.0,video call
4,1,0.25,watch tv
2,0,0.0,make dinner
1,1,1.0,zoom meeting
1,1,1.0,google hangout
1,1,1.0,read books
1,0,0.0,cocktail hour
4,3,0.75,online shopping
3,2,0.6666666666666666,zoom call
1,0,0.0,reading books
1,0,0.0,have a drink
3,1,0.3333333333333333,shopping online
1,0,0.0,disney plus
1,0,0.0,working remotely
1,0,0.0,online courses
1,1,1.0,playing video games
1,0,0.0,video conference
