word/phrase,total,positive,pos_rate
bluejeans,1,1,1.0
streamed,1,1,1.0
file for unemployment,1,1,1.0
home school,1,1,1.0
amazon prime,1,1,1.0
zoom meeting,1,1,1.0
google hangout,1,1,1.0
read books,1,1,1.0
playing video games,1,1,1.0
facetiming,5,4,0.8
posted,120,93,0.775
facetimed,4,3,0.75
online shopping,4,3,0.75
zoom,36,25,0.6944444444444440
ipa,33,22,0.6666666666666670
ipas,3,2,0.6666666666666670
zoom call,3,2,0.6666666666666670
disney+,17,11,0.6470588235294120
playstation,42,27,0.6428571428571430
hand washing,5,3,0.6
on tik tok,7,4,0.5714285714285710
netflix,157,86,0.5477707006369430
scotch,6,3,0.5
facetimes,2,1,0.5
wine,163,79,0.48466257668711700
baked,26,12,0.46153846153846200
on tiktok,11,5,0.45454545454545500
cooking,85,38,0.4470588235294120
binge watch,7,3,0.42857142857142900
twitch,83,34,0.40963855421686700
beers,25,10,0.4
homeschool,5,2,0.4
sanitize,5,2,0.4
streaming,15,6,0.4
hbo,28,11,0.39285714285714300
baking,16,6,0.375
stay at home,27,10,0.37037037037037000
tequila,30,11,0.36666666666666700
facetime,41,15,0.36585365853658500
cleaning,58,21,0.3620689655172410
delivered,50,18,0.36
cleaned,23,8,0.34782608695652200
bake,21,7,0.3333333333333330
disinfect,6,2,0.3333333333333330
youtube,48,16,0.3333333333333330
amazon,30,10,0.3333333333333330
stream,45,15,0.3333333333333330
work from home,6,2,0.3333333333333330
social distance,9,3,0.3333333333333330
shopping online,3,1,0.3333333333333330
watched,348,115,0.33045977011494300
watching,764,252,0.3298429319371730
cooked,32,10,0.3125
beer,190,55,0.2894736842105260
switch,28,8,0.2857142857142860
reads,7,2,0.2857142857142860
social distancing,63,18,0.2857142857142860
delivery,60,17,0.2833333333333330
ps4,55,15,0.2727272727272730
whiskey,31,8,0.25806451612903200
cocktail,20,5,0.25
disinfecting,4,1,0.25
cocktails,12,3,0.25
rum,12,3,0.25
cleans,4,1,0.25
watch tv,4,1,0.25
cook,144,35,0.24305555555555600
online classes,13,3,0.23076923076923100
booze,14,3,0.21428571428571400
snapchat,43,8,0.18604651162790700
drink,124,23,0.18548387096774200
xbox,55,10,0.18181818181818200
tweeting,11,2,0.18181818181818200
on instagram,22,4,0.18181818181818200
delivering,17,3,0.17647058823529400
tutor,6,1,0.16666666666666700
childcare,6,1,0.16666666666666700
watch,1239,202,0.16303470540758700
on facebook,25,4,0.16
reading,51,8,0.1568627450980390
gin,13,2,0.15384615384615400
homeschooling,7,1,0.14285714285714300
posting,30,4,0.13333333333333300
take out,15,2,0.13333333333333300
posts,24,3,0.125
stay in,42,4,0.09523809523809520
gaming,26,2,0.07692307692307690
read,175,13,0.07428571428571430
clean,196,13,0.0663265306122449
on twitter,109,5,0.045871559633027500
deliver,47,2,0.0425531914893617
watches,35,1,0.02857142857142860
post,106,2,0.018867924528301900
social media,92,1,0.010869565217391300
cooks,6,0,0.0
wines,4,0,0.0
whiskeys,2,0,0.0
delivers,9,0,0.0
wining,3,0,0.0
twitching,3,0,0.0
cleaner,3,0,0.0
deliveries,4,0,0.0
postings,1,0,0.0
switches,2,0,0.0
switching,3,0,0.0
switched,5,0,0.0
streams,7,0,0.0
zoomed,1,0,0.0
cleanest,3,0,0.0
wined,1,0,0.0
snapchats,1,0,0.0
tutoring,1,0,0.0
gins,1,0,0.0
tutors,1,0,0.0
carry out,3,0,0.0
using twitter,1,0,0.0
have a shot,1,0,0.0
online learning,4,0,0.0
happy hour,5,0,0.0
reading list,3,0,0.0
video call,1,0,0.0
make dinner,2,0,0.0
cocktail hour,1,0,0.0
reading books,1,0,0.0
have a drink,1,0,0.0
disney plus,1,0,0.0
working remotely,1,0,0.0
online courses,1,0,0.0
video conference,1,0,0.0
,5728,1521,0.2856
